ISim log file
Running: /home/parallels/ucla/m152acs/labs/csm152a/lab_1/priority_encoder_TB_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/parallels/ucla/m152acs/labs/csm152a/lab_1/priority_encoder_TB_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 2000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
              105000 | SM: 000000000001 | exponent: 000
              110000 | SM: 000000000011 | exponent: 000
              115000 | SM: 000000000111 | exponent: 000
              120000 | SM: 000000001111 | exponent: 000
              125000 | SM: 000000011111 | exponent: 001
              130000 | SM: 000000111111 | exponent: 010
              135000 | SM: 000001111111 | exponent: 011
              140000 | SM: 000011111111 | exponent: 100
              145000 | SM: 000111111111 | exponent: 101
              150000 | SM: 001111111111 | exponent: 110
              155000 | SM: 011111111111 | exponent: 111
              160000 | SM: 111111111111 | exponent: 000
              165000 | SM: 100000000000 | exponent: 000
              170000 | SM: 110000000000 | exponent: 000
              175000 | SM: 111000000000 | exponent: 000
              180000 | SM: 111100000000 | exponent: 000
              185000 | SM: 111110000000 | exponent: 000
              190000 | SM: 111111000000 | exponent: 000
              195000 | SM: 111111100000 | exponent: 000
              200000 | SM: 111111110000 | exponent: 000
              205000 | SM: 111111111000 | exponent: 000
              210000 | SM: 111111111100 | exponent: 000
              215000 | SM: 111111111110 | exponent: 000
              220000 | SM: 111111111111 | exponent: 000
              225000 | SM: 111111111111 | exponent: 000
              230000 | SM: 111111111111 | exponent: 000
              235000 | SM: 111111111111 | exponent: 000
              240000 | SM: 111111111111 | exponent: 000
              245000 | SM: 111111111111 | exponent: 000
              250000 | SM: 111111111111 | exponent: 000
              255000 | SM: 111111111111 | exponent: 000
              260000 | SM: 111111111111 | exponent: 000
              265000 | SM: 111111111111 | exponent: 000
              270000 | SM: 111111111111 | exponent: 000
              275000 | SM: 111111111111 | exponent: 000
              280000 | SM: 111111111111 | exponent: 000
              285000 | SM: 111111111111 | exponent: 000
              290000 | SM: 111111111111 | exponent: 000
              295000 | SM: 111111111111 | exponent: 000
              300000 | SM: 111111111111 | exponent: 000
              305000 | SM: 111111111111 | exponent: 000
              310000 | SM: 111111111111 | exponent: 000
              315000 | SM: 111111111111 | exponent: 000
              320000 | SM: 111111111111 | exponent: 000
              325000 | SM: 111111111111 | exponent: 000
              330000 | SM: 111111111111 | exponent: 000
              335000 | SM: 111111111111 | exponent: 000
